Leicester,Crystal Palace,3,1
Liverpool,West Brom,2,1
Swansea,Watford,0,0
West Ham,Sunderland,1,0
Chelsea,Man United,4,0
Man City,Southampton,1,1
Crystal Palace,Liverpool,2,4
Man United,Burnley,0,0
Middlesbrough,Bournemouth,2,0
Sunderland,Arsenal,1,4
Tottenham,Leicester,1,1
Watford,Hull,1,0
West Brom,Man City,0,4
Everton,West Ham,2,0
Southampton,Chelsea,0,2
Stoke,Swansea,3,1
Bournemouth,Sunderland,1,2
Burnley,Crystal Palace,3,2
Chelsea,Everton,5,0
Man City,Middlesbrough,1,1
West Ham,Stoke,1,1
Arsenal,Tottenham,1,1
Hull,Southampton,2,1
Leicester,West Brom,1,2
Liverpool,Watford,6,1
Swansea,Man United,1,3
Crystal Palace,Man City,1,2
Everton,Swansea,1,1
Man United,Arsenal,1,1
Southampton,Liverpool,0,0
Stoke,Bournemouth,0,1
Sunderland,Hull,3,0
Tottenham,West Ham,3,2
Watford,Leicester,2,1
Middlesbrough,Chelsea,0,1
West Brom,Burnley,4,0
Burnley,Man City,1,2
Chelsea,Tottenham,2,1
Hull,West Brom,1,1
Leicester,Middlesbrough,2,2
Liverpool,Sunderland,2,0
Swansea,Crystal Palace,5,4
Arsenal,Bournemouth,3,1
Man United,West Ham,1,1
Southampton,Everton,1,0
Watford,Stoke,0,1
Crystal Palace,Southampton,3,0
Man City,Chelsea,1,3
Stoke,Burnley,2,0
Sunderland,Leicester,2,1
Tottenham,Swansea,5,0
West Brom,Watford,3,1
West Ham,Arsenal,1,5
Bournemouth,Liverpool,4,3
Everton,Man United,1,1
Middlesbrough,Hull,1,0
Arsenal,Stoke,3,1
Burnley,Bournemouth,3,2
Hull,Crystal Palace,3,3
Leicester,Man City,4,2
Swansea,Sunderland,3,0
Watford,Everton,3,2
Chelsea,West Brom,1,0
Liverpool,West Ham,2,2
Man United,Tottenham,1,0
Southampton,Middlesbrough,1,0
Bournemouth,Leicester,1,0
Everton,Arsenal,2,1
Crystal Palace,Man United,1,2
Man City,Watford,2,0
Middlesbrough,Liverpool,0,3
Stoke,Southampton,0,0
Sunderland,Chelsea,0,1
Tottenham,Hull,3,0
West Brom,Swansea,3,1
West Ham,Burnley,1,0
Crystal Palace,Chelsea,0,1
Middlesbrough,Swansea,3,0
Stoke,Leicester,2,2
Sunderland,Watford,1,0
West Brom,Man United,0,2
West Ham,Hull,1,0
Bournemouth,Southampton,1,3
Man City,Arsenal,2,1
Tottenham,Burnley,2,1
Everton,Liverpool,0,1
Arsenal,West Brom,1,0
Burnley,Middlesbrough,1,0
Chelsea,Bournemouth,3,0
Hull,Man City,0,3
Leicester,Everton,0,2
Man United,Sunderland,3,1
Swansea,West Ham,1,4
Watford,Crystal Palace,1,1
Liverpool,Stoke,4,1
Southampton,Tottenham,1,4
Hull,Everton,2,2
Burnley,Sunderland,4,1
Chelsea,Stoke,4,2
Leicester,West Ham,1,0
Liverpool,Man City,1,0
Man United,Middlesbrough,2,1
Southampton,West Brom,1,2
Swansea,Bournemouth,0,3
Arsenal,Crystal Palace,2,0
Watford,Tottenham,1,4
Everton,Southampton,3,0
Man City,Burnley,2,1
Middlesbrough,Leicester,0,0
Sunderland,Liverpool,2,2
West Brom,Hull,3,1
West Ham,Man United,0,2
Bournemouth,Arsenal,3,3
Crystal Palace,Swansea,1,2
Stoke,Watford,2,0
Tottenham,Chelsea,2,0
Burnley,Southampton,1,0
Hull,Bournemouth,3,1
Leicester,Chelsea,0,3
Sunderland,Stoke,1,3
Swansea,Arsenal,0,4
Tottenham,West Brom,4,0
Watford,Middlesbrough,0,0
West Ham,Crystal Palace,3,0
Everton,Man City,4,0
Man United,Liverpool,1,1
Bournemouth,Watford,2,2
Crystal Palace,Everton,0,1
Liverpool,Swansea,2,3
Man City,Tottenham,2,2
Middlesbrough,West Ham,1,3
Stoke,Man United,1,1
West Brom,Sunderland,2,0
Arsenal,Burnley,2,1
Chelsea,Hull,2,0
Southampton,Leicester,3,0
Arsenal,Watford,1,2
Bournemouth,Crystal Palace,0,2
Burnley,Leicester,1,0
Liverpool,Chelsea,1,1
Middlesbrough,West Brom,1,1
Sunderland,Tottenham,0,0
Swansea,Southampton,2,1
Man United,Hull,0,0
Stoke,Everton,1,1
West Ham,Man City,0,4
Chelsea,Arsenal,3,1
Crystal Palace,Sunderland,0,4
Everton,Bournemouth,6,3
Hull,Liverpool,2,0
Southampton,West Ham,1,3
Tottenham,Middlesbrough,1,0
Watford,Burnley,2,1
West Brom,Stoke,1,0
Leicester,Man United,0,3
Man City,Swansea,2,1
Arsenal,Hull,2,0
Liverpool,Tottenham,2,0
Man United,Watford,2,0
Middlesbrough,Everton,0,0
Stoke,Crystal Palace,1,0
Sunderland,Southampton,0,4
West Ham,West Brom,2,2
Burnley,Chelsea,1,1
Swansea,Leicester,2,0
Bournemouth,Man City,0,2
Chelsea,Swansea,3,1
Crystal Palace,Middlesbrough,1,0
Everton,Sunderland,2,0
Hull,Burnley,1,1
Watford,West Ham,1,1
West Brom,Bournemouth,2,1
Tottenham,Stoke,4,0
Leicester,Liverpool,3,1
Leicester,Hull,3,1
Liverpool,Arsenal,3,1
Man United,Bournemouth,1,1
Stoke,Middlesbrough,2,0
Swansea,Burnley,3,2
Watford,Southampton,3,4
West Brom,Crystal Palace,0,2
Sunderland,Man City,0,2
Tottenham,Everton,3,2
West Ham,Chelsea,1,2
Man City,Stoke,0,0
Bournemouth,West Ham,3,2
Everton,West Brom,3,0
Hull,Swansea,2,1
Liverpool,Burnley,2,1
Bournemouth,Swansea,2,0
Crystal Palace,Watford,1,0
Everton,Hull,4,0
Stoke,Chelsea,1,2
Sunderland,Burnley,0,0
West Brom,Arsenal,3,1
West Ham,Leicester,2,3
Man City,Liverpool,1,1
Middlesbrough,Man United,1,3
Tottenham,Southampton,2,1
Burnley,Tottenham,0,2
Chelsea,Crystal Palace,1,2
Hull,West Ham,2,1
Leicester,Stoke,2,0
Liverpool,Everton,3,1
Man United,West Brom,0,0
Southampton,Bournemouth,0,0
Watford,Sunderland,1,0
Arsenal,Man City,2,2
Swansea,Middlesbrough,0,0
Burnley,Stoke,1,0
Leicester,Sunderland,2,0
Man United,Everton,1,1
Watford,West Brom,2,0
Arsenal,West Ham,3,0
Chelsea,Man City,2,1
Hull,Middlesbrough,4,2
Liverpool,Bournemouth,2,2
Southampton,Crystal Palace,3,1
Swansea,Tottenham,1,3
Bournemouth,Chelsea,1,3
Man City,Hull,3,1
Middlesbrough,Burnley,0,0
Stoke,Liverpool,1,2
Tottenham,Watford,4,0
West Brom,Southampton,0,1
West Ham,Swansea,1,0
Everton,Leicester,4,2
Sunderland,Man United,0,3
Crystal Palace,Arsenal,3,0
Crystal Palace,Leicester,2,2
Everton,Burnley,3,1
Southampton,Man City,0,3
Stoke,Hull,3,1
Sunderland,West Ham,2,2
Tottenham,Bournemouth,4,0
Watford,Swansea,1,0
Man United,Chelsea,2,0
West Brom,Liverpool,0,1
Middlesbrough,Arsenal,1,2
Bournemouth,Middlesbrough,4,0
Hull,Watford,2,0
Swansea,Stoke,2,0
West Ham,Everton,0,0
Burnley,Man United,0,2
Liverpool,Crystal Palace,1,2
Chelsea,Southampton,4,2
Arsenal,Leicester,1,0
Crystal Palace,Tottenham,0,1
Middlesbrough,Sunderland,1,0
Man City,Man United,0,0
Crystal Palace,Burnley,0,2
Southampton,Hull,0,0
Stoke,West Ham,0,0
Sunderland,Bournemouth,0,1
West Brom,Leicester,0,1
Everton,Chelsea,0,3
Man United,Swansea,1,1
Middlesbrough,Man City,2,2
Tottenham,Arsenal,2,0
Watford,Liverpool,0,1
West Ham,Tottenham,1,0
Bournemouth,Stoke,2,2
Burnley,West Brom,2,2
Hull,Sunderland,0,2
Leicester,Watford,3,0
Man City,Crystal Palace,5,0
Swansea,Everton,1,0
Arsenal,Man United,2,0
Liverpool,Southampton,0,0
Chelsea,Middlesbrough,3,0
Southampton,Arsenal,0,2
Everton,Watford,1,0
West Brom,Chelsea,0,1
Bournemouth,Burnley,2,1
Man City,Leicester,2,1
Middlesbrough,Southampton,1,2
Stoke,Arsenal,1,4
Sunderland,Swansea,0,2
Crystal Palace,Hull,4,0
Tottenham,Man United,2,1
West Ham,Liverpool,0,4
Chelsea,Watford,4,3
Arsenal,Sunderland,2,0
Man City,West Brom,3,1
Southampton,Man United,0,0
Leicester,Tottenham,1,6
Arsenal,Everton,3,1
Burnley,West Ham,1,2
Chelsea,Sunderland,5,1
Hull,Tottenham,1,7
Leicester,Bournemouth,1,1
Liverpool,Middlesbrough,3,0
Man United,Crystal Palace,2,0
Southampton,Stoke,0,1
Swansea,West Brom,2,1
Watford,Man City,0,5
